coord.lon,coord.lat,aqi.dt,aqi.main.aqi,aqi.components.co,aqi.components.no,aqi.components.no2,aqi.components.o3,aqi.components.so2,aqi.components.pm2_5,aqi.components.pm10,aqi.components.nh3
-122.5158,37.932,1670426460,2,453.95,12.52,26.39,0.02,1.74,15.55,18.63,4.5
-118.6025,34.1911,1670426460,1,310.42,1.51,23.65,6.62,0.94,7.77,11.6,1.06
-117.6691,33.5582,1670426460,4,667.57,30.85,61.01,0.0,12.16,32.39,45.54,3.36
-117.8729,33.6144,1670426460,5,1455.31,150.2,82.25,0.0,21.22,73.81,92.84,12.03
-117.8865,33.9153,1670426460,5,921.25,73.31,50.04,0.0,2.09,56.96,71.04,2.34
-118.153,34.146,1670426460,4,540.73,20.12,63.75,0.02,2.62,32.77,46.63,0.97
-121.948,37.3225,1670426460,5,1014.71,84.94,74.71,0.0,12.76,51.68,61.45,10.39
-80.1343,26.3659,1670426460,1,253.68,1.45,9.43,72.24,0.93,4.63,10.0,0.52
-80.3142,25.6899,1670426460,1,390.53,8.94,30.85,38.62,3.49,8.35,14.99,1.44
-77.1444,39.0239,1670426460,1,403.88,12.63,20.22,3.26,2.74,8.9,11.18,0.67
-74.0763,40.9176,1670426460,2,547.41,28.39,38.04,1.06,4.53,16.11,20.88,0.72
-73.7592,41.0313,1670426460,2,507.36,8.38,67.86,6.35,11.44,16.84,19.64,0.54
-75.3931,40.0892,1670426460,2,353.81,2.74,23.65,7.78,2.74,10.24,13.14,0.29
-97.7252,30.4032,1670426460,1,223.64,0.17,10.97,41.84,1.42,5.29,14.05,0.38
-96.7723,32.8678,1670426460,1,383.85,6.82,34.27,1.12,3.55,7.28,11.07,1.11
-122.3673,37.5931,1670426460,4,700.95,47.83,54.84,0.0,7.63,30.39,39.27,2.22
-121.9441,37.4927,1670426460,3,527.38,38.89,35.64,0.0,1.59,23.92,32.44,2.22
-118.3829,33.9759,1670426460,5,1735.69,198.48,87.74,0.0,15.5,95.62,117.06,13.55
-118.4456,34.0475,1670426460,3,607.49,36.21,37.01,0.0,3.76,24.09,31.68,4.12
-122.1243,37.4112,1670426460,4,567.44,25.93,58.95,0.0,10.73,28.42,34.02,0.85
-121.2105,38.8005,1670426460,1,283.72,0.02,8.48,20.56,0.02,3.9,9.76,0.81
-122.02,37.3575,1670426460,4,827.79,70.63,47.3,0.0,6.74,41.18,48.17,3.17
-118.3317,33.8113,1670426460,5,1735.69,198.48,87.74,0.0,15.5,95.62,117.06,13.55
-118.4933,34.1963,1670426460,3,607.49,36.21,37.01,0.0,3.76,24.09,31.68,4.12
-73.0522,41.2314,1670426460,1,267.03,0.12,16.62,55.08,1.36,3.32,4.4,0.25
-81.5908,30.2286,1670426460,2,547.41,42.92,16.62,4.6,0.62,19.23,24.89,1.0
-80.2569,25.7352,1670426460,1,390.53,8.94,30.85,38.62,3.49,8.35,14.99,1.44
-84.512,33.941,1670426460,1,211.95,0.31,6.77,24.32,0.8,4.39,7.01,0.3
-87.6542,41.8908,1670426460,2,383.85,4.02,34.62,13.77,4.95,12.61,16.0,0.83
-87.8162,42.1743,1670426460,3,487.33,10.73,42.84,7.87,3.04,20.29,24.72,0.73
-87.9731,41.9074,1670426460,3,527.38,20.56,45.24,7.51,4.41,21.72,26.56,0.86
-71.204,42.3669,1670426460,1,226.97,0.08,10.37,57.22,1.59,2.51,3.74,0.15
-83.4506,42.7358,1670426460,2,383.85,1.76,23.31,8.76,1.34,18.05,19.93,0.13
-93.3998,44.8787,1670426460,1,310.42,0.37,19.36,33.98,3.22,4.09,5.33,1.93
-74.3202,40.6875,1670426460,2,393.87,7.71,30.16,3.67,2.44,10.35,15.39,0.38
-115.2287,36.0622,1670426460,2,226.97,0.0,5.91,76.53,0.51,9.73,22.69,1.31
-73.5152,40.7999,1670426460,1,360.49,0.56,37.01,27.18,3.73,6.71,15.05,0.83
-73.7275,41.2127,1670426460,1,347.14,1.52,38.39,20.74,6.08,9.66,11.34,0.22
-73.9352,40.7382,1670426460,5,2029.42,250.34,71.29,0.11,11.68,93.09,109.31,11.78
-84.389,39.2125,1670426460,2,453.95,18.33,11.14,0.48,0.5,13.74,16.41,0.56
-81.4938,41.5192,1670426460,2,387.19,16.09,30.5,0.87,2.86,13.59,14.83,0.68
-97.4276,35.855,1670426460,1,263.69,0.09,6.77,17.17,1.01,7.5,10.01,0.38
-86.8041,35.9692,1670426460,1,205.28,0.11,3.6,23.96,0.14,2.7,2.94,0.07
-95.551,29.7227,1670426460,2,337.12,3.52,27.76,24.32,6.08,10.4,23.08,0.85
-111.8884,40.7209,1670426460,4,420.57,2.21,61.01,8.76,3.73,26.67,30.45,3.07
-122.162,47.626,1670426460,1,317.1,0.1,23.65,25.75,1.82,5.74,7.77,0.33
-122.3388,47.6231,1670426460,1,307.08,0.0,19.02,41.49,2.74,6.92,8.39,0.1
-82.4532,27.3851,1670426460,1,300.41,4.02,9.6,30.76,0.72,8.29,12.43,0.79
