TRT_ID,coord.lon,coord.lat,aqi.dt,aqi.main.aqi,aqi.components.co,aqi.components.no,aqi.components.no2,aqi.components.o3,aqi.components.so2,aqi.components.pm2_5,aqi.components.pm10,aqi.components.nh3
20,-111.9297,33.5032,1670523621,4,867.84,54.99,35.99,13.59,1.43,46.83,66.97,5.13
22,-122.5158,37.932,1670523621,4,620.84,15.2,69.23,5.5,7.75,34.84,40.81,0.68
24,-118.6025,34.1911,1670523621,2,500.68,22.13,22.62,17.52,1.15,19.79,26.38,1.98
26,-117.6691,33.5582,1670523621,5,1068.12,92.98,45.93,7.42,3.93,68.04,89.9,1.95
27,-117.8729,33.6144,1670523621,5,1602.17,135.9,91.85,11.27,8.11,103.8,124.85,5.38
28,-117.8865,33.9153,1670523621,5,1174.93,101.92,63.06,10.19,5.72,62.27,77.03,5.57
30,-118.153,34.146,1670523621,4,674.25,59.9,45.93,13.59,3.76,47.42,70.88,2.85
34,-121.948,37.3225,1670523621,5,974.66,74.21,59.63,1.97,2.71,50.18,59.91,3.48
40,-80.1343,26.3659,1670523621,2,193.6,0.27,1.44,87.26,0.68,3.26,8.11,0.09
41,-80.3142,25.6899,1670523621,2,200.27,0.8,4.5,90.84,1.86,3.43,8.58,0.25
50,-77.1444,39.0239,1670523621,1,270.37,0.61,5.66,54.36,1.48,2.95,3.49,0.36
54,-74.0763,40.9176,1670523621,1,253.68,0.5,3.09,60.08,0.6,0.9,1.18,0.16
57,-73.7592,41.0313,1670523621,1,243.66,0.22,2.38,70.1,1.01,0.89,1.12,0.13
61,-75.3931,40.0892,1670523621,1,253.68,0.78,3.73,75.1,1.12,1.56,2.12,0.26
63,-97.7252,30.4032,1670523621,1,196.93,0.66,2.72,47.92,1.7,3.62,4.64,0.09
64,-96.7723,32.8678,1670523621,1,223.64,1.52,11.14,36.84,2.09,3.27,4.98,0.55
74,-122.3673,37.5931,1670523621,4,720.98,40.23,46.61,2.06,1.94,31.22,43.06,1.41
77,-121.9441,37.4927,1670523621,4,667.57,42.02,49.35,3.93,3.1,36.9,44.79,1.55
78,-118.3829,33.9759,1670523621,5,1695.63,189.54,101.45,8.49,16.45,114.37,142.33,11.78
80,-118.4456,34.0475,1670523621,4,680.92,40.68,36.33,15.2,2.71,39.95,48.71,2.25
82,-122.1243,37.4112,1670523621,4,714.3,33.53,65.12,3.17,7.51,44.94,53.87,1.19
83,-121.2105,38.8005,1670523621,1,283.72,1.15,12.68,27.18,0.37,4.28,7.83,0.59
88,-122.02,37.3575,1670523621,4,687.6,41.57,38.39,2.12,2.09,34.63,41.36,2.88
89,-118.3317,33.8113,1670523621,5,1695.63,189.54,101.45,8.49,16.45,114.37,142.33,11.78
90,-118.4933,34.1963,1670523621,4,680.92,40.68,36.33,15.2,2.71,39.95,48.71,2.25
92,-73.0522,41.2314,1670523621,1,226.97,0.26,2.42,78.68,0.58,0.99,1.2,0.07
94,-81.5908,30.2286,1670523621,1,236.99,1.37,6.43,57.94,1.4,8.23,12.92,0.46
95,-80.2569,25.7352,1670523621,2,200.27,0.8,4.5,90.84,1.86,3.43,8.58,0.25
99,-84.512,33.941,1670523621,1,250.34,1.96,7.88,25.75,1.58,3.41,4.48,0.21
101,-87.6542,41.8908,1670523621,1,267.03,1.47,13.37,50.78,4.29,4.46,5.79,0.72
102,-87.8162,42.1743,1670523621,1,233.65,0.56,6.26,55.79,2.74,1.61,2.5,0.35
103,-87.9731,41.9074,1670523621,1,267.03,1.63,15.42,48.64,4.71,3.98,5.37,0.76
107,-71.204,42.3669,1670523621,1,233.65,0.21,1.69,75.1,0.58,0.74,1.07,0.12
109,-83.4506,42.7358,1670523621,1,220.3,0.48,2.59,66.52,0.72,0.55,1.42,0.42
110,-93.3998,44.8787,1670523621,2,527.38,31.74,30.16,23.25,8.7,15.91,19.83,6.21
115,-74.3202,40.6875,1670523621,1,257.02,0.43,3.26,61.51,0.59,0.95,1.56,0.17
117,-115.2287,36.0622,1670523621,2,230.31,2.07,7.45,78.68,2.8,6.43,23.73,0.96
118,-73.5152,40.7999,1670523621,1,267.03,1.01,6.34,60.08,1.65,1.52,3.3,0.39
119,-73.7275,41.2127,1670523621,1,240.33,0.2,2.19,70.81,2.0,0.89,1.08,0.1
120,-73.9352,40.7382,1670523621,1,300.41,2.35,14.05,44.7,3.4,2.32,3.4,0.91
122,-84.389,39.2125,1670523621,2,327.11,1.57,14.05,36.12,3.13,12.22,13.98,0.29
123,-81.4938,41.5192,1670523621,1,220.3,0.27,5.14,67.95,3.4,0.62,1.13,0.32
126,-97.4276,35.855,1670523621,1,273.71,1.82,4.33,11.44,0.07,5.66,6.52,0.35
129,-86.8041,35.9692,1670523621,1,293.73,3.16,6.68,2.59,0.38,9.46,9.8,0.12
134,-111.8884,40.7209,1670523621,3,520.71,28.16,37.7,42.56,20.98,24.9,30.49,2.63
135,-122.162,47.626,1670523621,1,333.79,0.24,24.68,38.62,2.59,4.66,6.46,0.55
137,-122.3388,47.6231,1670523621,1,263.69,0.12,11.82,56.51,2.53,3.41,4.26,0.36
153,-82.4532,27.3851,1670523621,1,253.68,1.17,9.08,73.67,2.3,9.19,12.44,0.19
228,-117.1534,32.8915,1670523621,2,527.38,25.26,25.02,16.81,0.98,15.07,21.16,2.44
230,-116.4751,33.7861,1670523621,1,293.73,3.74,8.82,50.07,0.37,9.26,16.5,1.3
315,-75.4333,40.0459,1670523621,1,253.68,0.68,4.24,70.1,1.42,1.54,1.88,0.27
325,-121.9249,37.7028,1670523621,4,473.98,13.86,41.47,5.45,3.67,32.49,38.6,0.42
343,-77.2395,38.932,1670523621,1,247.0,0.54,4.71,65.8,1.46,2.56,3.08,0.3
345,-117.8824,33.674,1670523621,5,1602.17,135.9,91.85,11.27,8.11,103.8,124.85,5.38
349,-84.2854,33.7932,1670523621,1,343.8,11.51,17.82,10.82,3.87,6.09,8.28,0.86
378,-74.0734,40.9577,1670523621,1,253.68,0.5,3.09,60.08,0.6,0.9,1.18,0.16
460,-119.7454,34.4336,1670523621,1,193.6,0.67,2.04,50.07,0.07,1.71,2.24,0.26
461,-81.3872,28.618,1670523621,2,211.95,0.78,4.07,82.97,0.4,6.3,8.75,0.0
544,-84.512,33.9411,1670523621,1,250.34,1.96,7.88,25.75,1.58,3.41,4.48,0.21
547,-118.3298,33.9214,1670523621,5,1695.63,189.54,101.45,8.49,16.45,114.37,142.33,11.78
551,-121.299,37.7997,1670523621,4,467.3,29.95,21.59,2.68,10.61,31.98,38.75,1.49
552,-122.1503,37.3948,1670523621,4,687.6,41.57,38.39,2.12,2.09,34.63,41.36,2.88
554,-121.9781,37.3939,1670523621,5,974.66,74.21,59.63,1.97,2.71,50.18,59.91,3.48
557,-121.9513,37.4939,1670523621,4,667.57,42.02,49.35,3.93,3.1,36.9,44.79,1.55
558,-83.7862,39.4294,1670523621,2,307.08,1.08,11.48,38.98,2.35,11.89,13.28,0.21
584,-80.7188,35.1403,1670523621,1,277.04,1.65,10.37,12.16,2.06,6.0,7.43,0.23
627,-95.4212,29.9805,1670523621,1,216.96,1.3,8.4,55.08,6.08,6.46,15.38,0.22
636,-71.1782,42.236,1670523621,1,247.0,0.47,4.03,70.1,1.13,1.04,1.44,0.27
651,-118.3013,34.1748,1670523621,5,1028.06,107.29,63.06,9.74,5.66,67.1,91.68,5.26
658,-97.7701,30.435,1670523621,1,196.93,0.66,2.72,47.92,1.7,3.62,4.64,0.09
659,-119.4616,39.548,1670523621,1,297.07,1.84,13.88,42.92,0.14,7.16,9.93,1.47
669,-84.3838,39.2245,1670523621,2,327.11,1.57,14.05,36.12,3.13,12.22,13.98,0.29
671,-118.4924,34.1982,1670523621,4,680.92,40.68,36.33,15.2,2.71,39.95,48.71,2.25
675,-121.9322,37.4788,1670523621,4,667.57,42.02,49.35,3.93,3.1,36.9,44.79,1.55
677,-122.516,37.9634,1670523621,4,620.84,15.2,69.23,5.5,7.75,34.84,40.81,0.68
705,-121.8438,36.6171,1670523621,2,307.08,1.2,12.85,33.62,0.86,17.3,20.48,0.34
707,-121.994,37.5511,1670523621,4,667.57,42.02,49.35,3.93,3.1,36.9,44.79,1.55
738,-121.9882,37.406,1670523621,4,667.57,42.02,49.35,3.93,3.1,36.9,44.79,1.55
755,-74.0066,40.6831,1670523621,1,280.38,1.26,7.71,52.93,1.65,1.54,2.49,0.48
759,-95.5375,29.7362,1670523621,1,208.62,1.63,8.4,59.37,8.58,5.93,15.65,0.21
766,-121.9493,37.4982,1670523621,4,667.57,42.02,49.35,3.93,3.1,36.9,44.79,1.55
782,-119.4637,39.5492,1670523621,1,297.07,1.84,13.88,42.92,0.14,7.16,9.93,1.47
787,-121.9424,37.4778,1670523621,4,667.57,42.02,49.35,3.93,3.1,36.9,44.79,1.55
798,-74.6832,40.2975,1670523621,1,236.99,0.36,3.17,77.96,1.0,1.02,1.44,0.14
825,-122.4218,37.7844,1670523621,2,433.92,2.96,40.44,24.32,4.23,17.38,21.29,0.72
826,-117.9907,33.8636,1670523621,5,1174.93,101.92,63.06,10.19,5.72,62.27,77.03,5.57
829,-98.6263,29.6553,1670523621,1,183.58,0.08,0.61,43.63,0.19,1.73,2.51,0.1
845,-86.0713,39.907,1670523621,2,267.03,0.61,5.1,55.08,0.66,10.25,11.33,0.49
852,-118.3277,33.9162,1670523621,5,1695.63,189.54,101.45,8.49,16.45,114.37,142.33,11.78
856,-122.1478,47.6294,1670523621,1,333.79,0.24,24.68,38.62,2.59,4.66,6.46,0.55
871,-80.0711,40.6461,1670523621,1,243.66,0.33,5.14,57.94,1.91,1.96,2.59,0.25
875,-95.8263,41.2413,1670523621,2,283.72,0.32,9.85,37.19,3.28,11.64,12.13,0.49
904,-85.5348,42.8636,1670523621,1,233.65,1.29,4.11,61.51,0.88,1.19,1.44,0.64
906,-121.2921,37.7985,1670523621,4,467.3,29.95,21.59,2.68,10.61,31.98,38.75,1.49
911,-118.4182,34.0581,1670523621,4,680.92,40.68,36.33,15.2,2.71,39.95,48.71,2.25
913,-122.0581,37.8962,1670523621,4,594.14,33.53,41.47,2.68,5.72,32.68,43.95,0.75
920,-81.8102,26.6139,1670523621,1,190.26,0.05,0.53,79.39,0.18,3.1,5.73,0.02
923,-121.9252,37.4708,1670523621,4,667.57,42.02,49.35,3.93,3.1,36.9,44.79,1.55
940,-96.8375,32.8324,1670523621,1,213.62,1.75,7.03,41.13,1.55,3.1,4.35,0.41
941,-122.6714,45.4918,1670523621,1,273.71,0.14,12.0,47.21,1.58,2.72,3.29,0.34
964,-111.8973,33.4217,1670523621,4,867.84,54.99,35.99,13.59,1.43,46.83,66.97,5.13
976,-76.7563,39.4006,1670523621,1,260.35,0.45,5.48,60.8,0.73,2.53,2.88,0.34
984,-73.6256,41.0238,1670523621,1,243.66,0.22,2.38,70.1,1.01,0.89,1.12,0.13
