base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,wind.gust,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,rain.1h,snow.1h,main.sea_level,main.grnd_level,rain.3h,snow.3h,weather.id,weather.main,weather.description,weather.icon
stations,10000.0,1670426445.0,-28800.0,5339766.0,Corte Madera,200.0,-122.5158,37.932,7.52,7.52,2.85,10.66,1023.0,91.0,0.47,11.0,0.91,0.0,2.0,2032783.0,US,1670425970.0,1670460642.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426445.0,-28800.0,8030162.0,West Hills,200.0,-118.6025,34.1911,6.4,6.4,3.54,9.8,1020.0,91.0,0.45,317.0,1.34,0.0,2.0,2008514.0,US,1670424445.0,1670460288.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426445.0,-28800.0,5364199.0,Ladera Ranch,200.0,-117.6691,33.5582,8.93,8.93,5.37,10.74,1020.0,89.0,0.89,123.0,3.13,0.0,2.0,2033430.0,US,1670424128.0,1670460157.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426445.0,-28800.0,5392148.0,San Joaquin Hills,200.0,-117.8729,33.6144,9.15,9.15,5.62,10.99,1021.0,90.0,0.0,0.0,,75.0,2.0,2009253.0,US,1670424185.0,1670460198.0,0.96,,,,,,500,Rain,light rain,10d
stations,8047.0,1670426445.0,-28800.0,5330582.0,Brea,200.0,-117.8865,33.9153,8.16,8.16,6.48,11.02,1020.0,89.0,0.89,86.0,2.68,0.0,2.0,2010054.0,US,1670424232.0,1670460157.0,,,,,,,701,Mist,mist,50d
stations,10000.0,1670426445.0,-28800.0,5381396.0,Pasadena,200.0,-118.153,34.146,7.21,6.67,4.38,9.73,1020.0,86.0,1.34,0.0,2.24,0.0,2.0,2027281.0,US,1670424330.0,1670460187.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426445.0,-28800.0,5331836.0,Burbank,200.0,-121.948,37.3225,5.11,3.44,2.49,8.18,1022.0,93.0,2.06,170.0,,20.0,2.0,2010043.0,US,1670425734.0,1670460606.0,,,,,,,721,Haze,haze,50d
stations,10000.0,1670426445.0,-18000.0,4148399.0,Boca Del Mar,200.0,-80.1343,26.3659,26.27,26.27,23.91,27.78,1025.0,71.0,5.14,80.0,,40.0,1.0,3394.0,US,1670414147.0,1670452116.0,,,,,,,802,Clouds,scattered clouds,03d
stations,10000.0,1670426445.0,-18000.0,4160711.0,Kendall,200.0,-80.3142,25.6899,26.7,28.29,25.56,27.79,1024.0,69.0,4.12,30.0,,20.0,2.0,2011540.0,US,1670414106.0,1670452243.0,,,,,,,801,Clouds,few clouds,02d
stations,6437.0,1670426445.0,-18000.0,4363843.0,North Bethesda,200.0,-77.1444,39.0239,11.07,10.74,9.71,12.03,1022.0,96.0,2.06,180.0,,100.0,2.0,2019845.0,US,1670415257.0,1670449570.0,,,,,,,701,Mist,mist,50d
