coord.lon,coord.lat,aqi.dt,aqi.main.aqi,aqi.components.co,aqi.components.no,aqi.components.no2,aqi.components.o3,aqi.components.so2,aqi.components.pm2_5,aqi.components.pm10,aqi.components.nh3
-157.8581,21.3103,2022-09-22 13:00:00,1,168.56,0.0,3.17,50.07,0.72,6.65,12.41,0.0
-156.4924,20.8694,2022-09-22 13:00:00,1,158.55,0.0,0.24,52.21,0.18,4.47,6.58,0.0
-155.9133,19.5097,2022-09-22 13:00:00,3,155.21,0.0,0.56,54.36,25.51,22.36,24.53,0.0
-155.7981,19.9775,2022-09-22 13:00:00,2,153.54,0.0,0.75,45.78,24.08,14.59,15.32,0.0
-155.7781,19.1176,2022-09-22 13:00:00,3,131.85,0.0,0.51,31.11,51.02,20.61,20.86,0.0
-155.4689,19.2065,2022-09-22 13:00:00,2,108.48,0.0,0.34,30.4,74.39,15.52,15.88,0.0
-155.102,19.5554,2022-09-22 13:00:00,1,138.52,0.0,0.32,36.12,23.13,5.6,5.88,0.0
-149.8246,61.2059,2022-09-22 13:00:00,1,173.57,0.0,2.16,55.08,0.46,0.5,0.81,0.04
-149.0317,61.5342,2022-09-22 13:00:00,1,171.9,0.0,1.13,55.08,0.4,0.64,0.82,0.0
-147.7273,64.8458,2022-09-22 13:00:00,1,170.23,0.0,0.43,52.93,0.02,0.5,0.52,0.0
-147.6933,64.8459,2022-09-22 13:00:00,1,170.23,0.0,0.43,52.93,0.02,0.5,0.52,0.0
-147.3103,64.763,2022-09-22 13:00:00,1,176.91,0.0,5.83,44.7,2.62,0.5,0.52,0.0
-143.6239,70.1319,2022-09-22 13:00:00,1,176.91,0.0,0.12,43.27,0.09,0.5,0.57,0.03
-135.0588,60.7197,2022-09-22 13:00:00,1,163.56,0.0,0.32,75.82,0.16,0.5,0.65,0.01
-134.5656,58.3889,2022-09-22 13:00:00,1,176.91,0.0,0.39,65.09,0.75,0.93,1.04,0.0
-124.6203,48.2867,2022-09-22 13:00:00,1,186.92,0.0,1.08,55.79,0.6,9.27,11.07,0.0
-124.61,48.3661,2022-09-22 13:00:00,1,186.92,0.0,1.08,55.79,0.6,9.27,11.07,0.0
-124.2768,42.0546,2022-09-22 13:00:00,1,168.56,0.0,0.72,54.36,0.06,2.26,2.45,0.08
-124.2639,43.3819,2022-09-22 13:00:00,1,171.9,0.0,0.65,59.37,0.18,2.38,3.05,0.08
-124.2189,43.3626,2022-09-22 13:00:00,1,171.9,0.0,0.65,59.37,0.18,2.38,3.05,0.08
-124.2035,41.7561,2022-09-22 13:00:00,1,178.58,0.0,0.65,72.24,0.27,1.97,2.51,0.0
-124.1093,43.9896,2022-09-22 13:00:00,1,175.24,0.0,0.81,63.66,0.21,3.08,4.27,0.08
-123.9401,44.6244,2022-09-22 13:00:00,1,173.57,0.0,0.69,62.94,0.21,3.26,5.92,0.0
-123.8317,46.9772,2022-09-22 13:00:00,1,181.91,0.0,0.77,76.53,0.44,5.32,9.15,0.0
-123.82,45.4547,2022-09-22 13:00:00,1,176.91,0.0,0.73,68.67,0.34,3.17,5.43,0.0
-123.7318,46.6882,2022-09-22 13:00:00,1,175.24,0.0,0.6,69.38,0.3,3.88,6.0,0.0
-123.6484,42.1617,2022-09-22 13:00:00,1,106.81,0.01,0.41,10.37,0.0,1.72,1.83,0.16
-123.4364,48.115,2022-09-22 13:00:00,1,185.25,0.0,1.71,61.51,0.47,7.32,7.99,0.07
