base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,rain.1h,weather.id,weather.main,weather.description,weather.icon
stations,10000.0,2022-09-22 13:00:00,-36000.0,5856195.0,Honolulu,200.0,-157.8583,21.3069,23.89,24.5,22.58,24.9,1012.0,83.0,2.06,100.0,20.0,1.0,7878.0,US,2022-09-22 16:20:16,2022-09-23 04:27:55,,,,,801,Clouds,few clouds,02n
stations,10000.0,2022-09-22 13:00:00,-36000.0,5850871.0,Maui County,200.0,-156.4924,20.8694,23.5,23.89,21.67,25.12,1012.0,76.0,2.57,170.0,0.0,2.0,19170.0,US,2022-09-22 16:14:49,2022-09-23 04:22:27,,,,,800,Clear,clear sky,01n
stations,10000.0,2022-09-22 13:00:00,-36000.0,5848956.0,Kealakekua,200.0,-155.9133,19.5097,20.19,20.38,19.13,22.55,1014.0,81.0,3.39,345.0,97.0,2.0,2002394.0,US,2022-09-22 16:12:33,2022-09-23 04:20:05,1014.0,953.0,3.61,0.11,500,Rain,light rain,10n
stations,10000.0,2022-09-22 13:00:00,-36000.0,5854410.0,Waikoloa,200.0,-155.7981,19.9775,22.71,23.31,20.41,24.95,1014.0,87.0,0.1,32.0,27.0,2.0,2038499.0,US,2022-09-22 16:12:04,2022-09-23 04:19:38,1014.0,993.0,0.94,,802,Clouds,scattered clouds,03n
stations,10000.0,2022-09-22 13:00:00,-36000.0,5855815.0,Hawaiian Ocean View,200.0,-155.7781,19.1176,19.34,19.47,19.34,19.34,1014.0,82.0,2.46,56.0,33.0,,,US,2022-09-22 16:12:01,2022-09-23 04:19:32,1014.0,914.0,3.91,,802,Clouds,scattered clouds,03n
stations,10000.0,2022-09-22 13:00:00,-36000.0,5851902.0,Pāhala,200.0,-155.4689,19.2065,22.08,22.3,22.08,22.08,1016.0,75.0,2.73,47.0,1.0,,,US,2022-09-22 16:10:47,2022-09-23 04:18:18,1016.0,981.0,3.36,,800,Clear,clear sky,01n
stations,10000.0,2022-09-22 13:00:00,-36000.0,5851253.0,Mountain View,200.0,-155.102,19.5554,19.11,19.69,18.33,21.51,1014.0,100.0,3.6,230.0,100.0,1.0,7881.0,US,2022-09-22 16:09:18,2022-09-23 04:16:50,,,,,500,Rain,light rain,10n
stations,10000.0,2022-09-22 13:00:00,-28800.0,5879400.0,Anchorage,200.0,-149.8246,61.2059,5.75,3.01,3.87,6.97,995.0,83.0,3.6,150.0,100.0,1.0,7756.0,US,2022-09-22 15:43:47,2022-09-23 04:00:09,,,,,804,Clouds,overcast clouds,04n
stations,10000.0,2022-09-22 13:00:00,-28800.0,5858289.0,Butte,200.0,-149.0317,61.5342,4.29,2.48,3.97,5.59,996.0,90.0,2.06,100.0,100.0,1.0,7637.0,US,2022-09-22 15:40:31,2022-09-23 03:57:04,,,,,500,Rain,light rain,10n
stations,9656.0,2022-09-22 13:00:00,-28800.0,5861897.0,Fairbanks,200.0,-147.7273,64.8458,3.32,3.32,1.94,4.79,995.0,94.0,0.0,0.0,100.0,1.0,7684.0,US,2022-09-22 15:34:15,2022-09-23 03:52:55,,,,0.25,500,Rain,light rain,10n
stations,9656.0,2022-09-22 13:00:00,-28800.0,5861897.0,Fairbanks,200.0,-147.6933,64.8459,3.35,3.35,1.94,4.78,995.0,94.0,0.0,0.0,100.0,1.0,7684.0,US,2022-09-22 15:34:06,2022-09-23 03:52:47,,,,0.25,500,Rain,light rain,10n
stations,6437.0,2022-09-22 13:00:00,-28800.0,5870294.0,North Pole,200.0,-147.3103,64.763,3.36,2.02,1.87,4.71,995.0,94.0,1.54,180.0,100.0,2.0,2005756.0,US,2022-09-22 15:32:36,2022-09-23 03:51:14,,,,0.25,701,Mist,mist,50n
stations,10000.0,2022-09-22 13:00:00,-28800.0,5865670.0,Kaktovik,200.0,-143.6239,70.1319,1.85,-2.97,1.85,1.85,1000.0,95.0,5.71,82.0,100.0,,,US,2022-09-22 15:15:22,2022-09-23 03:38:59,1000.0,1000.0,6.83,,500,Rain,light rain,10n
stations,10000.0,2022-09-22 13:00:00,-25200.0,6180550.0,Whitehorse,200.0,-135.0588,60.7197,8.18,5.47,5.05,8.43,997.0,64.0,4.63,180.0,100.0,2.0,47668.0,CA,2022-09-22 14:44:45,2022-09-23 03:01:05,,,7.72,,804,Clouds,overcast clouds,04n
stations,10000.0,2022-09-22 13:00:00,-28800.0,5846147.0,Fish Creek (historical),200.0,-134.5656,58.3889,9.06,9.06,7.15,9.99,1006.0,95.0,0.0,0.0,100.0,1.0,7729.0,US,2022-09-22 14:43:21,2022-09-23 02:58:32,,,,0.38,804,Clouds,overcast clouds,04n
stations,10000.0,2022-09-22 13:00:00,-25200.0,6111995.0,Port Renfrew,200.0,-124.6203,48.2867,8.33,6.52,8.33,8.53,1016.0,95.0,2.98,165.0,9.0,1.0,6130.0,CA,2022-09-22 14:05:16,2022-09-23 02:17:05,1016.0,979.0,5.75,,500,Rain,light rain,10n
stations,10000.0,2022-09-22 13:00:00,-25200.0,6111995.0,Port Renfrew,200.0,-124.61,48.3661,10.32,9.86,10.32,10.53,1016.0,94.0,1.71,168.0,7.0,1.0,6130.0,CA,2022-09-22 14:05:13,2022-09-23 02:17:03,1016.0,1016.0,4.7,,800,Clear,clear sky,01n
stations,10000.0,2022-09-22 13:00:00,-25200.0,5715905.0,Brookings,200.0,-124.2768,42.0546,11.56,11.36,10.78,12.84,1020.0,99.0,1.54,0.0,0.0,1.0,3482.0,US,2022-09-22 14:04:36,2022-09-23 02:15:01,,,,,800,Clear,clear sky,01n
stations,10000.0,2022-09-22 13:00:00,-25200.0,5720495.0,Coos Bay,200.0,-124.2639,43.3819,11.28,11.07,9.69,14.58,1020.0,100.0,3.09,140.0,75.0,2.0,2039399.0,US,2022-09-22 14:04:25,2022-09-23 02:15:06,,,,,800,Clear,clear sky,01n
stations,10000.0,2022-09-22 13:00:00,-25200.0,5720495.0,Coos Bay,200.0,-124.2189,43.3626,11.73,11.57,9.99,14.88,1020.0,100.0,3.09,140.0,75.0,2.0,2039399.0,US,2022-09-22 14:04:14,2022-09-23 02:14:55,,,,,803,Clouds,broken clouds,04n
stations,10000.0,2022-09-22 13:00:00,-25200.0,5562087.0,Crescent City,200.0,-124.2035,41.7561,12.19,11.92,11.04,13.03,1020.0,94.0,1.54,120.0,0.0,1.0,3594.0,US,2022-09-22 14:04:20,2022-09-23 02:14:41,,,,,803,Clouds,broken clouds,04n
stations,10000.0,2022-09-22 13:00:00,-25200.0,5727032.0,Florence,200.0,-124.1093,43.9896,14.09,13.2,13.33,15.95,1018.0,63.0,0.45,167.0,100.0,2.0,2007248.0,US,2022-09-22 14:03:44,2022-09-23 02:14:32,,,2.24,,800,Clear,clear sky,01n
stations,10000.0,2022-09-22 13:00:00,-25200.0,5757007.0,Toledo,200.0,-123.9401,44.6244,14.76,14.69,13.57,15.99,1020.0,92.0,3.58,193.0,100.0,2.0,2008594.0,US,2022-09-22 14:02:59,2022-09-23 02:13:56,,,4.47,,804,Clouds,overcast clouds,04n
stations,10000.0,2022-09-22 13:00:00,-25200.0,5785243.0,Aberdeen,200.0,-123.8317,46.9772,14.49,14.29,13.77,15.07,1017.0,88.0,0.45,236.0,95.0,2.0,2012182.0,US,2022-09-22 14:02:17,2022-09-23 02:13:46,,,1.79,,804,Clouds,overcast clouds,04n
stations,10000.0,2022-09-22 13:00:00,-25200.0,5756777.0,Tillamook,200.0,-123.82,45.4547,15.07,14.9,9.78,15.51,1020.0,87.0,0.0,0.0,100.0,1.0,6040.0,US,2022-09-22 14:02:25,2022-09-23 02:13:33,,,,,804,Clouds,overcast clouds,04n
